Plant,Ref,Line1,Line2,Batch,Biomass
49643,R3,GPID_00037,DVF3376|IG14201,MMS Batch 6,11.84
50108,R3,GPID_00080,0T0VC (Alameda),MMS Batch 7,11.84
50156,R3,GPID_00130,Rana,MMS Batch 7,11.84
50391,R3,GPID_00170,HBNr.52630,MMS Batch 8,11.84
50411,R3,GPID_00201,ViciapaucijugaVF635,MMS Batch 8,11.84
47939,R1,GPID_00020,DVF281|MEUSE,MMS Batch 2,11.83
48541,WC3,Alameda,Alameda,MMS Batch 3,11.83
48584,R2,GPID_00046,DVF2407|BPL261,MMS Batch 4,11.83
48654,R2,GPID_00232,Kassa,MMS Batch 4,11.83
48790,WC2,GPID_00189,Mars/2-1(cv),MMS Batch 4,11.83
49243,WC2,GPID_00168,Giza402Gš,MMS Batch 5,11.83
49245,WC2,GPID_00111,BORJANA,MMS Batch 5,11.83
49677,R3,GPID_00141,Limbo,MMS Batch 6,11.83
50079,R3,GPID_00155,Bulldog/1-4EP3-5-1_1,MMS Batch 7,11.83
50270,WC3,GPID_00099,PEGOLETE,MMS Batch 7,11.83
50297,WC3,GPID_00193,Peru/Karg-5,MMS Batch 7,11.83
50409,R3,GPID_00194,Sel97-1,MMS Batch 8,11.83
48360,R3,Melodie,Melodie,MMS Batch 3,11.82
48706,N2,GPID_00216,Hedin2,MMS Batch 4,11.82
48759,N4,Melodie,Melodie,MMS Batch 4,11.82
49306,WC2,GPID_00092,CARAMBA,MMS Batch 5,11.82
49889,WC3,GPID_00171,HBNr42400,MMS Batch 6,11.82
50344,WC3,GPID_00183,Karmesin,MMS Batch 7,11.82
50414,R3,GPID_00230,FAB7367,MMS Batch 8,11.82
47804,WC1,GPID_00047,DVF3274|LOCAL,MMS Batch 1,11.81
48452,N3,VF172-3Cv,VF172-3Cv,MMS Batch 3,11.81
48513,WC2,GPID_00069,751,MMS Batch 3,11.81
48665,R4,Hedin2,Hedin2,MMS Batch 4,11.81
48784,WC2,GPID_00224,75573,MMS Batch 4,11.81
49661,R3,GPID_00019,DVF280|LORRAINEKOENIGSMAKER,MMS Batch 6,11.81
50092,R3,GPID_00028,DVF3350|IG11749,MMS Batch 7,11.81
50143,R3,GPID_00138,Karna,MMS Batch 7,11.81
50145,R3,GPID_00010,DVF2129|MELANGECOTED'OR,MMS Batch 7,11.81
47897,R1,GPID_00142,Erfano,MMS Batch 2,11.80
49633,R3,GPID_00100,PALACIO,MMS Batch 6,11.80
49663,R3,GPID_00235,NV866-1,MMS Batch 6,11.80
49664,R3,GPID_00131,RLW57420,MMS Batch 6,11.80
49682,R3,GPID_00205,131708,MMS Batch 6,11.80
49695,R3,GPID_00121,NPZ16.7610,MMS Batch 6,11.80
50445,N3,GPID_00202,Webo/1-1-1-10-1-2,MMS Batch 8,11.80
47803,WC1,GPID_00211,FAB7369,MMS Batch 1,11.79
48590,R2,GPID_00011,DVF2327|SELECTIONDANSPOUILLY,MMS Batch 4,11.79
48687,N2,GPID_00001,DVF1331|109.669,MMS Batch 4,11.79
48756,N4,VF172-3Cv,VF172-3Cv,MMS Batch 4,11.79
49143,R2,GPID_00238,Dosha(COLL155/00-3),MMS Batch 5,11.79
49325,WC2,GPID_00070,1017,MMS Batch 5,11.79
49698,R3,GPID_00120,Mythos,MMS Batch 6,11.79
50152,R3,GPID_00011,DVF2327|SELECTIONDANSPOUILLY,MMS Batch 7,11.79
50417,N3,GPID_00196,St8419/2,MMS Batch 8,11.79
50517,WC1,GPID_00094,HISTAL,MMS Batch 8,11.79
47743,WC1,GPID_00122,NPZ16.7650,MMS Batch 1,11.78
48032,N1,GPID_00023,DVF3339|IG114963,MMS Batch 2,11.78
48601,R2,GPID_00045,DVF2220|K0285,MMS Batch 4,11.78
49130,R2,GPID_00026,DVF3344|IG11693,MMS Batch 5,11.78
50098,R3,GPID_00060,231,MMS Batch 7,11.78
50107,R3,GPID_00084,ALARGA,MMS Batch 7,11.78
50393,R3,GPID_00223,Ukko,MMS Batch 8,11.78
50439,N3,GPID_00184,L79/79/1EP4-1_1-3-2-2,MMS Batch 8,11.78
47738,N1,Melodie,Melodie,MMS Batch 1,11.77
47747,WC1,GPID_00072,1067,MMS Batch 1,11.77
48345,R2,GPID_00022,DVF310|DULUC,MMS Batch 3,11.77
48359,R2,GPID_00182,K_Tick,MMS Batch 3,11.77
48812,WC2,GPID_00089,BARACA,MMS Batch 4,11.77
48491,WC1,GPID_00106,COMENDADOR,MMS Batch 3,11.43
50096,R3,GPID_00127,NPZ17.7538,MMS Batch 7,11.77
50117,R3,GPID_00193,Peru/Karg-5,MMS Batch 7,11.77
50413,R3,GPID_00133,Tiffany,MMS Batch 8,11.77
49110,R2,GPID_00151,Basispop.-524,MMS Batch 5,11.76
48076,WC1,GPID_00135,Yukon,MMS Batch 2,11.75
48814,WC2,GPID_00175,I2_47304,MMS Batch 4,11.75
49261,WC2,GPID_00176,I5_FAB106,MMS Batch 5,11.75
49743,N3,GPID_00072,1067,MMS Batch 6,11.75
49876,WC3,GPID_00214,GCN07715cf3,MMS Batch 6,11.75
50162,R3,GPID_00153,Bourdon/1EP5EP1-1_1-2-1,MMS Batch 7,11.75
50331,WC3,GPID_00158,DUC1268(4)(1)/VC-1=1268(4)(1)-1,MMS Batch 7,11.75
50405,R3,GPID_00167,gelbeMarsMutante,MMS Batch 8,11.75
50505,N1,GPID_00148,Aurora/1,MMS Batch 8,11.75
47766,WC1,GPID_00156,Condor/3(Kaf2),MMS Batch 1,11.74
48740,N2,GPID_00028,DVF3350|IG11749,MMS Batch 4,11.74
49753,N3,GPID_00235,NV866-1,MMS Batch 6,11.74
50167,R3,GPID_00047,DVF3274|LOCAL,MMS Batch 7,11.74
48104,WC1,GPID_00168,Giza402Gš,MMS Batch 2,11.73
48341,R2,GPID_00120,Mythos,MMS Batch 3,11.73
48493,WC1,GPID_00183,Karmesin,MMS Batch 3,11.73
49676,R3,GPID_00113,Condor,MMS Batch 6,11.73
50078,R3,GPID_00157,C™teD`Or/1-1-3-1-2-1-1-2-2-3-22-2,MMS Batch 7,11.73
47645,R1,VF172-3Cv,VF172-3Cv,MMS Batch 1,11.72
48364,R3,ILB938/2,ILB938/2,MMS Batch 3,11.72
49107,R2,GPID_00139,Samba,MMS Batch 5,11.72
49299,WC2,GPID_00201,ViciapaucijugaVF635,MMS Batch 5,11.72
47829,WC1,Alameda,Alameda,MMS Batch 1,11.71
48363,R3,Hedin2,Hedin2,MMS Batch 3,11.71
49131,R2,GPID_00126,NPZ17.7535,MMS Batch 5,11.71
49830,WC3,GPID_00097,XBJ90.03-16-1-1-1 (NAVIO),MMS Batch 6,11.71
50147,R3,GPID_00182,K_Tick,MMS Batch 7,11.71
50161,R3,GPID_00016,DVF2516|29H.1.15.B.(1.12)1MC1.3,MMS Batch 7,11.71
50418,N3,GPID_00142,Erfano,MMS Batch 8,11.71
50508,N1,GPID_00190,Minica,MMS Batch 8,11.71
47650,N1,GPID_00109,OMEYA,MMS Batch 1,11.70
47656,N1,GPID_00137,Farah,MMS Batch 1,11.70
48538,WC2,GPID_00128,NPZ17.7540,MMS Batch 3,11.70
48633,R2,GPID_00132,Samira,MMS Batch 4,11.70
50491,R1,GPID_00061,237,MMS Batch 8,11.70
48309,R1,GPID_00234,NV739-1,MMS Batch 3,11.69
48587,R2,GPID_00032,DVF3360|IG13030,MMS Batch 4,11.69
49784,N3,GPID_00122,NPZ16.7650,MMS Batch 6,11.69
50139,R3,GPID_00046,DVF2407|BPL261,MMS Batch 7,11.69
50347,WC3,GPID_00047,DVF3274|LOCAL,MMS Batch 7,11.69
48136,WC1,GPID_00214,GCN07715cf3,MMS Batch 2,11.68
48137,WC1,GPID_00111,BORJANA,MMS Batch 2,11.68
48594,R2,GPID_00073,1070,MMS Batch 4,11.68
49073,R2,GPID_00179,IG11903,MMS Batch 5,11.68
49307,WC2,GPID_00169,GLB13=F4(EP6xNixe37_stabil),MMS Batch 5,11.68
49801,WC3,GPID_00069,751,MMS Batch 6,11.68
50406,R3,GPID_00184,L79/79/1EP4-1_1-3-2-2,MMS Batch 8,11.68
48081,WC1,GPID_00131,RLW57420,MMS Batch 2,11.67
48089,WC1,GPID_00065,377,MMS Batch 2,11.67
48453,N3,Hedin2,Hedin2,MMS Batch 3,11.67
49285,WC2,GPID_00174,I2_47303,MMS Batch 5,11.67
49634,R3,GPID_00166,FAB370,MMS Batch 6,11.67
50088,R3,GPID_00126,NPZ17.7535,MMS Batch 7,11.67
50202,N3,GPID_00146,Apollo/1,MMS Batch 7,11.67
50216,N3,GPID_00228,130731,MMS Batch 7,11.67
50394,R3,GPID_00188,MarisBead(cv),MMS Batch 8,11.67
47783,WC1,GPID_00092,CARAMBA,MMS Batch 1,11.66
47799,WC1,GPID_00090,BROCAL,MMS Batch 1,11.66
48503,WC2,GPID_00088,ARECES,MMS Batch 3,11.66
49185,N2,GPID_00042,DVF1736,MMS Batch 5,11.66
49276,WC2,GPID_00098,XBJ90.04-6-2-1-1 (QUIJOTE),MMS Batch 5,11.66
49832,WC3,GPID_00159,FAB120,MMS Batch 6,11.66
50428,N3,GPID_00096,LUZ_DE_OTO„O,MMS Batch 8,11.66
50518,WC1,GPID_00095,L-8,MMS Batch 8,11.66
48078,WC1,GPID_00062,260,MMS Batch 2,11.65
48102,WC1,GPID_00199,V2544,MMS Batch 2,11.65
49250,WC2,GPID_00185,L863/1,MMS Batch 5,11.65
49735,N3,GPID_00032,DVF3360|IG13030,MMS Batch 6,11.65
50120,R3,GPID_00015,DVF2452|DEBDENMUTANT,MMS Batch 7,11.65
50163,R3,GPID_00221,Taifun,MMS Batch 7,11.65
47807,WC1,GPID_00013,DVF2372|Hiverna,MMS Batch 1,11.64
48066,WC1,GPID_00008,DVF1979|223303,MMS Batch 2,11.64
48068,WC1,GPID_00230,FAB7367,MMS Batch 2,11.64
48121,WC1,GPID_00213,Fab7375,MMS Batch 2,11.64
49140,R2,GPID_00123,NPZ17.7035,MMS Batch 5,11.64
50277,WC3,GPID_00143,47301,MMS Batch 7,11.64
48064,WC1,GPID_00015,DVF2452|DEBDENMUTANT,MMS Batch 2,11.63
48611,R2,GPID_00005,DVF1599|89.13.6.1.,MMS Batch 4,11.63
50102,R3,GPID_00112,Alfred,MMS Batch 7,11.63
50287,WC3,GPID_00084,ALARGA,MMS Batch 7,11.63
50429,N3,GPID_00238,Dosha(COLL155/00-3),MMS Batch 8,11.63
50526,WC2,GPID_00082,ALAMEDA,MMS Batch 8,11.63
49099,R2,GPID_00162,FAB237rot,MMS Batch 5,11.62
49631,R3,GPID_00195,Slaney/1,MMS Batch 6,11.62
49853,WC3,GPID_00104,709,MMS Batch 6,11.62
50310,WC3,GPID_00021,DVF288|POP39LARNAUD,MMS Batch 7,11.62
47750,WC1,GPID_00165,Fab303,MMS Batch 1,11.61
48468,WC1,GPID_00154,BPL261,MMS Batch 3,11.61
48618,R2,GPID_00018,DVF279|LORRAINEMETZ,MMS Batch 4,11.61
49314,WC2,GPID_00114,Espresso,MMS Batch 5,11.61
49645,R3,GPID_00032,DVF3360|IG13030,MMS Batch 6,11.61
50228,N3,GPID_00132,Samira,MMS Batch 7,11.61
47749,WC1,GPID_00114,Espresso,MMS Batch 1,11.60
47942,R1,GPID_00023,DVF3339|IG114963,MMS Batch 2,11.60
47672,N1,GPID_00223,Ukko,MMS Batch 1,11.60
47676,N1,GPID_00156,Condor/3(Kaf2),MMS Batch 1,11.60
47699,N1,GPID_00125,NPZ17.7532,MMS Batch 1,11.60
48337,R2,GPID_00095,L-8,MMS Batch 3,11.60
48485,WC1,GPID_00204,124097,MMS Batch 3,11.60
48497,WC1,GPID_00189,Mars/2-1(cv),MMS Batch 3,11.60
48736,N2,GPID_00003,DVF1454|KORNBERGERKLEINKOERNIGE,MMS Batch 4,11.60
49150,N2,GPID_00024,DVF3340|IG115118,MMS Batch 5,11.60
49327,WC2,GPID_00230,FAB7367,MMS Batch 5,11.60
50109,R3,GPID_00163,FAB288,MMS Batch 7,11.60
50395,R3,GPID_00096,LUZ_DE_OTO„O,MMS Batch 8,11.60
50432,N3,GPID_00197,Tatranskije/1,MMS Batch 8,11.60
49326,WC2,GPID_00093,CHIPEN,MMS Batch 5,11.59
50402,R3,GPID_00222,Tina,MMS Batch 8,11.59
50475,WC3,GPID_00194,Sel97-1,MMS Batch 8,11.59
47768,WC1,GPID_00224,75573,MMS Batch 1,11.58
47808,WC1,GPID_00014,DVF2378|QUASAR,MMS Batch 1,11.58
47945,R1,GPID_00238,Dosha(COLL155/00-3),MMS Batch 2,11.58
49751,N3,GPID_00019,DVF280|LORRAINEKOENIGSMAKER,MMS Batch 6,11.58
49835,WC3,GPID_00237,RIL35L,MMS Batch 6,11.58
50101,R3,GPID_00123,NPZ17.7035,MMS Batch 7,11.58
50389,R3,GPID_00240,MESSAY,MMS Batch 8,11.58
50452,WC3,GPID_00058,Trumpet,MMS Batch 8,11.58
47784,WC1,GPID_00192,Orletzki/Orol,MMS Batch 1,11.57
47797,WC1,GPID_00241,NC58,MMS Batch 1,11.57
47821,WC1,GPID_00080,0T0VC (Alameda),MMS Batch 1,11.57
48816,WC2,GPID_00237,RIL35L,MMS Batch 4,11.57
50338,WC3,GPID_00180,IG13010,MMS Batch 7,11.57
50502,N1,GPID_00094,HISTAL,MMS Batch 8,11.57
48116,WC1,GPID_00081,0T0VC(Baraca),MMS Batch 2,11.56
48495,WC1,GPID_00188,MarisBead(cv),MMS Batch 3,11.56
48585,R2,GPID_00150,Basispop.-387,MMS Batch 4,11.56
49277,WC2,GPID_00124,NPZ17.7303,MMS Batch 5,11.56
49284,WC2,GPID_00010,DVF2129|MELANGECOTED'OR,MMS Batch 5,11.56
48608,R2,GPID_00008,DVF1979|223303,MMS Batch 4,11.55
49671,R3,GPID_00002,DVF1343|PI221517,MMS Batch 6,11.55
50230,N3,GPID_00007,DVF1977|221516,MMS Batch 7,11.55
48124,WC1,GPID_00172,HBNr50580,MMS Batch 2,11.54
49267,WC2,GPID_00239,Kassa(Helsinki),MMS Batch 5,11.54
49667,R3,GPID_00203,Wibo/1-1_1-1,MMS Batch 6,11.54
50448,N3,GPID_00082,ALAMEDA,MMS Batch 8,11.54
47800,WC1,GPID_00009,DVF2080|TYROL,MMS Batch 1,11.53
48123,WC1,GPID_00058,Trumpet,MMS Batch 2,11.53
48460,WC1,GPID_00176,I5_FAB106,MMS Batch 3,11.53
48473,WC1,GPID_00212,Fab7371,MMS Batch 3,11.53
49246,WC2,GPID_00074,1114,MMS Batch 5,11.53
49871,WC3,GPID_00190,Minica,MMS Batch 6,11.53
50340,WC3,GPID_00098,XBJ90.04-6-2-1-1 (QUIJOTE),MMS Batch 7,11.53
50399,R3,GPID_00197,Tatranskije/1,MMS Batch 8,11.53
50426,N3,GPID_00223,Ukko,MMS Batch 8,11.53
47599,R1,GPID_00068,505,MMS Batch 1,11.52
47819,WC1,GPID_00140,Victor,MMS Batch 1,11.52
48490,WC1,GPID_00129,NPZ17.7541,MMS Batch 3,11.52
48528,WC2,GPID_00137,Farah,MMS Batch 3,11.52
50082,R3,GPID_00003,DVF1454|KORNBERGERKLEINKOERNIGE,MMS Batch 7,11.52
48378,N1,GPID_00154,BPL261,MMS Batch 3,11.51
48469,WC1,GPID_00179,IG11903,MMS Batch 3,11.51
48659,R2,GPID_00023,DVF3339|IG114963,MMS Batch 4,11.51
48804,WC2,GPID_00183,Karmesin,MMS Batch 4,11.51
49265,WC2,GPID_00080,0T0VC (Alameda),MMS Batch 5,11.51
49708,R3,GPID_00049,DVF3345|IG11695,MMS Batch 6,11.51
49729,N3,GPID_00077,1152,MMS Batch 6,11.51
50307,WC3,GPID_00115,Hobbit,MMS Batch 7,11.51
47769,WC1,GPID_00240,Messay,MMS Batch 1,11.50
47770,WC1,GPID_00225,81360,MMS Batch 1,11.50
48144,WC1,GPID_00181,ILB938/2,MMS Batch 2,11.50
47696,N1,GPID_00127,NPZ17.7538,MMS Batch 1,11.50
49300,WC2,GPID_00134,Troy,MMS Batch 5,11.50
49809,WC3,GPID_00083,ACEQUIA,MMS Batch 6,11.50
50113,R3,GPID_00220,Scirocco,MMS Batch 7,11.50
50124,R3,GPID_00231,Fjord,MMS Batch 7,11.50
50215,N3,GPID_00062,260,MMS Batch 7,11.50
47777,WC1,GPID_00087,AMCOR,MMS Batch 1,11.49
49308,WC2,GPID_00204,124097,MMS Batch 5,11.49
50454,WC3,GPID_00161,FAB237,MMS Batch 8,11.49
47740,WC1,GPID_00109,OMEYA,MMS Batch 1,11.48
47756,WC1,GPID_00132,Samira,MMS Batch 1,11.48
48073,WC1,GPID_00208,Diana07,MMS Batch 2,11.48
48821,WC2,GPID_00109,OMEYA,MMS Batch 4,11.48
49312,WC2,GPID_00194,Sel97-1,MMS Batch 5,11.48
50083,R3,GPID_00192,Orletzki/Orol,MMS Batch 7,11.48
47774,WC1,GPID_00073,1070,MMS Batch 1,11.47
48506,WC2,GPID_00180,IG13010,MMS Batch 3,11.47
48627,R2,GPID_00004,DVF159|GRADISVKA,MMS Batch 4,11.47
49294,WC2,GPID_00172,HBNr50580,MMS Batch 5,11.47
49632,R3,GPID_00241,NC58,MMS Batch 6,11.47
50312,WC3,GPID_00154,BPL261,MMS Batch 7,11.47
50476,WC3,GPID_00107,VOLANTIN,MMS Batch 8,11.47
48069,WC1,GPID_00130,Rana,MMS Batch 2,11.46
48769,WC2,GPID_00129,NPZ17.7541,MMS Batch 4,11.46
48810,WC2,GPID_00225,81360,MMS Batch 4,11.46
49684,R3,GPID_00018,DVF279|LORRAINEMETZ,MMS Batch 6,11.46
50242,N3,GPID_00011,DVF2327|SELECTIONDANSPOUILLY,MMS Batch 7,11.46
50280,WC3,GPID_00189,Mars/2-1(cv),MMS Batch 7,11.46
47741,WC1,GPID_00042,DVF1736,MMS Batch 1,11.45
47953,R1,GPID_00121,NPZ16.7610,MMS Batch 2,11.45
48135,WC1,GPID_00201,ViciapaucijugaVF635,MMS Batch 2,11.45
48140,WC1,GPID_00178,IG11204,MMS Batch 2,11.45
48463,WC1,GPID_00231,Fjord,MMS Batch 3,11.45
48763,WC2,GPID_00131,RLW57420,MMS Batch 4,11.45
48771,WC2,GPID_00065,377,MMS Batch 4,11.45
49252,WC2,GPID_00037,DVF3376|IG14201,MMS Batch 5,11.45
50336,WC3,GPID_00130,Rana,MMS Batch 7,11.45
50345,WC3,GPID_00108,JOYA,MMS Batch 7,11.45
50407,R3,GPID_00236,RIL184L,MMS Batch 8,11.45
48096,WC1,GPID_00096,LUZ_DE_OTO„O,MMS Batch 2,11.44
50444,N3,GPID_00201,ViciapaucijugaVF635,MMS Batch 8,11.44
47813,WC1,GPID_00146,Apollo/1,MMS Batch 1,11.43
48074,WC1,GPID_00215,GelberMelaninfleck,MMS Batch 2,11.43
48704,N2,GPID_00047,DVF3274|LOCAL,MMS Batch 4,11.43
49259,WC2,GPID_00086,ALDABA,MMS Batch 5,11.43
49854,WC3,GPID_00065,377,MMS Batch 6,11.43
50115,R3,GPID_00152,Basispop.-762,MMS Batch 7,11.43
50264,WC3,GPID_00106,COMENDADOR,MMS Batch 7,11.43
50301,WC3,GPID_00164,Fab302,MMS Batch 7,11.43
50305,WC3,GPID_00062,260,MMS Batch 7,11.43
50408,R3,GPID_00218,N52,MMS Batch 8,11.43
47742,WC1,GPID_00124,NPZ17.7303,MMS Batch 1,11.42
47775,WC1,GPID_00198,Uran/1,MMS Batch 1,11.42
49254,WC2,GPID_00208,Diana07,MMS Batch 5,11.42
49644,R3,GPID_00009,DVF2080|TYROL,MMS Batch 6,11.42
49848,WC3,GPID_00168,Giza402Gš,MMS Batch 6,11.42
50484,R1,GPID_00045,DVF2220|K0285,MMS Batch 8,11.42
47561,R1,GPID_00042,DVF1736,MMS Batch 1,11.41
48151,WC2,ILB938/2,ILB938/2,MMS Batch 2,11.41
48478,WC1,GPID_00074,1114,MMS Batch 3,11.41
48499,WC1,GPID_00076,1151,MMS Batch 3,11.41
48516,WC2,GPID_00187,L979/S1/1/1snEP10-1_1-4-1-2,MMS Batch 3,11.41
48815,WC2,GPID_00148,Aurora/1,MMS Batch 4,11.41
49248,WC2,GPID_00097,XBJ90.03-16-1-1-1 (NAVIO),MMS Batch 5,11.41
49309,WC2,GPID_00076,1151,MMS Batch 5,11.41
50384,R3,GPID_00196,St8419/2,MMS Batch 8,11.41
50523,WC1,GPID_00190,Minica,MMS Batch 8,11.41
47692,N1,GPID_00149,Banner/1EP1-1_1-4-1-1,MMS Batch 1,11.40
47704,N1,GPID_00018,DVF279|LORRAINEMETZ,MMS Batch 1,11.40
48844,WC2,GPID_00160,FAB144,MMS Batch 4,11.40
49251,WC2,GPID_00030,DVF3354|IG124115,MMS Batch 5,11.40
49786,N3,GPID_00214,GCN07715cf3,MMS Batch 6,11.40
49866,WC3,GPID_00169,GLB13=F4(EP6xNixe37_stabil),MMS Batch 6,11.40
50112,R3,GPID_00146,Apollo/1,MMS Batch 7,11.40
50390,R3,GPID_00119,Mallory,MMS Batch 8,11.40
50480,WC3,GPID_00230,FAB7367,MMS Batch 8,11.40
50490,R1,GPID_00148,Aurora/1,MMS Batch 8,11.40
48532,WC2,GPID_00170,HBNr.52630,MMS Batch 3,11.39
49274,WC2,GPID_00058,Trumpet,MMS Batch 5,11.39
47753,WC1,GPID_00046,DVF2407|BPL261,MMS Batch 1,11.38
47785,WC1,GPID_00237,RIL35L,MMS Batch 1,11.38
47810,WC1,GPID_00147,Arrisot/1EP1-1_1-4-1-1,MMS Batch 1,11.38
48090,WC1,GPID_00138,Karna,MMS Batch 2,11.38
48324,R2,GPID_00241,ALDABA,MMS Batch 3,11.38
48796,WC2,GPID_00216,Hedin2,MMS Batch 4,11.38
49138,R2,GPID_00027,DVF3349|IG11708,MMS Batch 5,11.38
49278,WC2,GPID_00161,FAB237,MMS Batch 5,11.38
50420,N3,GPID_00022,DVF310|DULUC,MMS Batch 8,11.38
50433,N3,GPID_00200,VF172-12,MMS Batch 8,11.38
50463,WC3,GPID_00135,Yukon,MMS Batch 8,11.38
47762,WC1,GPID_00223,Ukko,MMS Batch 1,11.37
47789,WC1,GPID_00125,NPZ17.7532,MMS Batch 1,11.37
47817,WC1,GPID_00049,DVF3345|IG11695,MMS Batch 1,11.37
48109,WC1,GPID_00194,Sel97-1,MMS Batch 2,11.37
48129,WC1,GPID_00117,Lynx,MMS Batch 2,11.37
48477,WC1,GPID_00082,0T0VC(Baraca),MMS Batch 3,11.37
48835,WC2,GPID_00029,DVF3352|IG12010,MMS Batch 4,11.37
49060,R2,GPID_00024,DVF3340|IG115118,MMS Batch 5,11.37
49105,R2,GPID_00174,I2_47303,MMS Batch 5,11.37
49242,WC2,GPID_00173,Hiverna/1-1-2EP3-2,MMS Batch 5,11.37
49295,WC2,GPID_00085,ALBOLAFIA,MMS Batch 5,11.37
49846,WC3,GPID_00063,287,MMS Batch 6,11.37
50288,WC3,GPID_00080,0T0VC (Alameda),MMS Batch 7,11.37
47778,WC1,GPID_00173,Hiverna/1-1-2EP3-2,MMS Batch 1,11.36
48811,WC2,GPID_00212,Fab7371,MMS Batch 4,11.36
49257,WC2,GPID_00156,Condor/3(Kaf2),MMS Batch 5,11.36
50271,WC3,GPID_00040,DVF1327|ILB551,MMS Batch 7,11.36
50316,WC3,GPID_00014,DVF2378|QUASAR,MMS Batch 7,11.36
50388,R3,GPID_00161,FAB237,MMS Batch 8,11.36
47772,WC1,GPID_00235,NV866-1,MMS Batch 1,11.35
48077,WC1,GPID_00142,Erfano,MMS Batch 2,11.35
48101,WC1,GPID_00180,IG13010,MMS Batch 2,11.35
49269,WC2,GPID_00215,GelberMelaninfleck,MMS Batch 5,11.35
50135,R3,GPID_00076,1151,MMS Batch 7,11.35
47779,WC1,GPID_00068,505,MMS Batch 1,11.34
48467,WC1,GPID_00184,L79/79/1EP4-1_1-3-2-2,MMS Batch 3,11.34
49304,WC2,GPID_00214,GCN07715cf3,MMS Batch 5,11.34
50134,R3,GPID_00070,1017,MMS Batch 7,11.34
47745,WC1,GPID_00196,St8419/2,MMS Batch 1,11.33
49247,WC2,GPID_00149,Banner/1EP1-1_1-4-1-1,MMS Batch 5,11.33
49834,WC3,GPID_00160,FAB144,MMS Batch 6,11.33
47744,WC1,GPID_00022,DVF310|DULUC,MMS Batch 1,11.32
47765,WC1,GPID_00017,DVF278|POP.MOUTIERSSAULEX,MMS Batch 1,11.32
47786,WC1,GPID_00127,NPZ17.7538,MMS Batch 1,11.32
48067,WC1,GPID_00187,L979/S1/1/1snEP10-1_1-4-1-2,MMS Batch 2,11.31
48488,WC1,GPID_00086,ALBOLAFIA,MMS Batch 3,11.31
48605,R2,GPID_00020,DVF281|MEUSE,MMS Batch 4,11.31
49076,R2,GPID_00036,DVF3374|IG13943,MMS Batch 5,11.31
49104,R2,GPID_00010,DVF2129|MELANGECOTED'OR,MMS Batch 5,11.31
47792,WC1,GPID_00030,DVF3354|IG124115,MMS Batch 1,11.30
48080,WC1,GPID_00026,DVF3344|IG11693,MMS Batch 2,11.30
48148,WC2,Giza402Gš,Giza402Gš,MMS Batch 2,11.30
47702,N1,GPID_00030,DVF3354|IG124115,MMS Batch 1,11.30
48847,WC4,Giza402Gš,Giza402Gš,MMS Batch 4,11.30
49262,WC2,GPID_00103,ILB 6584,MMS Batch 5,11.30
50299,WC3,GPID_00225,81360,MMS Batch 7,11.30
50322,WC3,GPID_00173,Hiverna/1-1-2EP3-2,MMS Batch 7,11.30
50272,WC3,GPID_00028,DVF3350|IG11749,MMS Batch 7,11.29
47806,WC1,GPID_00202,Webo/1-1-1-10-1-2,MMS Batch 1,11.28
48092,WC1,GPID_00126,NPZ17.7535,MMS Batch 2,11.28
48115,WC1,GPID_00128,NPZ17.7540,MMS Batch 2,11.28
48617,R2,GPID_00178,IG11204,MMS Batch 4,11.28
49271,WC2,GPID_00112,Alfred,MMS Batch 5,11.28
49329,WC2,GPID_00165,Fab303,MMS Batch 5,11.28
49850,WC3,GPID_00064,370,MMS Batch 6,11.28
50089,R3,GPID_00207,Aurora2,MMS Batch 7,11.28
47636,R1,GPID_00053,Fanfare,MMS Batch 1,11.27
48065,WC1,GPID_00085,ALBOLAFIA,MMS Batch 2,11.27
48085,WC1,GPID_00093,CHIPEN,MMS Batch 2,11.27
49296,WC2,GPID_00081,0T0VC(Baraca),MMS Batch 5,11.27
50436,N3,GPID_00150,Basispop.-387,MMS Batch 8,11.27
48103,WC1,GPID_00051,Fanfare,MMS Batch 2,11.26
48524,WC2,GPID_00222,Tina,MMS Batch 3,11.26
48537,WC2,GPID_00125,NPZ17.7532,MMS Batch 3,11.26
48806,WC2,GPID_00157,C™teD`Or/1-1-3-1-2-1-1-2-2-3-22-2,MMS Batch 4,11.26
48817,WC2,GPID_00184,L79/79/1EP4-1_1-3-2-2,MMS Batch 4,11.26
49281,WC2,GPID_00198,Uran/1,MMS Batch 5,11.26
50302,WC3,GPID_00061,237,MMS Batch 7,11.26
50472,WC3,GPID_00184,L79/79/1EP4-1_1-3-2-2,MMS Batch 8,11.26
47610,R1,GPID_00027,DVF3349|IG11708,MMS Batch 1,11.25
48492,WC1,GPID_00110,ARRECHANA,MMS Batch 3,11.25
48823,WC2,GPID_00083,ACEQUIA,MMS Batch 4,11.25
49279,WC2,GPID_00162,FAB237rot,MMS Batch 5,11.25
49826,WC3,GPID_00178,IG11204,MMS Batch 6,11.25
49875,WC3,GPID_00121,NPZ16.7610,MMS Batch 6,11.25
50346,WC3,GPID_00087,AMCOR,MMS Batch 7,11.25
48773,WC2,GPID_00166,FAB370,MMS Batch 4,11.24
48794,WC2,GPID_00047,DVF3274|LOCAL,MMS Batch 4,11.24
48795,WC2,GPID_00127,NPZ17.7538,MMS Batch 4,11.24
