"Taxa","Specialists"
"GPID_00019",92055
"GPID_00036",90722.5
"GPID_00012",108207.333333
"GPID_00046",92116.333333
"GPID_00011",131594.666667
"GPID_00025",160848
"GPID_00073",96793
"GPID_00006",144539.666667
"GPID_00063",128317.666667
"GPID_00028",78874
"GPID_00037",135357
"GPID_00065",93777.666667
"GPID_00070",103685.666667
"GPID_00047",76701.666667
"GPID_00045",96647.333333
"GPID_00010",90078.333333
"GPID_00009",101317.666667
"GPID_00007",83678.666667
"GPID_00042",123814
"GPID_00040",105724.666667
"GPID_00039",109555
"GPID_00097",80794.333333
"GPID_00098",165974
"GPID_00080",120283.666667
"GPID_00095",104062
"GPID_00083",124464.666667
"GPID_00096",123130
"GPID_00106",94610.666667
"GPID_00094",129016.5
"GPID_00109",70964
"GPID_00081",138385.666667
"GPID_00102",150650.666667
"GPID_00108",119361.333333
"GPID_00093",142628.666667
"GPID_00091",151422.333333
"GPID_00090",102031.333333
"GPID_00111",108780
"GPID_00089",124065.333333
"GPID_00110",78069.666667
"GPID_00087",122046.333333
"GPID_00084",89744
"GPID_00104",69641.333333
"GPID_00099",81697
"GPID_00017",111924
"GPID_00018",95284.333333
"GPID_00002",116821
"GPID_00003",119627.5
"GPID_00005",142977.333333
"GPID_00008",68939.5
"GPID_00016",91278
"GPID_00023",165027.5
"GPID_00024",123455.666667
"GPID_00026",122017.333333
"GPID_00027",108351
"GPID_00032",113579
"GPID_00061",76712.333333
"GPID_00072",62447.333333
"GPID_00053",55435
"GPID_00148",91363.333333
"GPID_00151",54186.666667
"GPID_00158",110106.666667
"GPID_00159",87634
"GPID_00166",103140.666667
"GPID_00167",118064.666667
"GPID_00171",123850.666667
"GPID_00172",128884.333333
"GPID_00175",167090.333333
"GPID_00176",109077.333333
"GPID_00178",64832.333333
"GPID_00179",107613
"GPID_00180",41099
"GPID_00183",96348.5
"GPID_00188",92752
"GPID_00189",154028
"GPID_00190",75640.666667
"GPID_00191",110961.333333
"GPID_00193",133923.666667
"GPID_00195",142248
"GPID_00196",107269.666667
"GPID_00197",107849
"GPID_00198",87405.666667
"GPID_00199",86618.333333
"GPID_00200",82444
"GPID_00147",95223.333333
"GPID_00149",59470.333333
"GPID_00153",117956
"GPID_00157",63493.666667
"GPID_00134",127036.333333
"GPID_00115",110089.666667
"GPID_00221",80823.333333
"GPID_00211",119538
"GPID_00208",110347
"GPID_00204",70831.333333
"GPID_00216",115281.333333
"GPID_00215",115084.333333
"GPID_00220",95585
"GPID_00223",90633
"GPID_00209",82438.5
"GPID_00222",76743
"GPID_00218",36864.5
"GPID_00214",110026.666667
"GPID_00212",170438
"GPID_00121",96117.666667
"GPID_00124",108193.333333
"GPID_00133",68903
"GPID_00119",70038.333333
"GPID_00117",109020.666667
"GPID_00118",122030.666667
"GPID_00116",105982.333333
"GPID_00112",116263.666667
"GPID_00135",98385
"GPID_00120",150942.666667
"GPID_00123",161807.333333
"GPID_00130",87757.333333
"GPID_00136",74783
"GPID_00125",118808
"GPID_00127",146383
"GPID_00128",152934
"GPID_00129",119672.666667
"GPID_00100",116988.333333
"GPID_00085",122247.333333
"GPID_00021",61209
"GPID_00001",93490.666667
"GPID_00014",87514.666667
"GPID_00029",82911
"GPID_00064",129466.5
"GPID_00076",143763
"GPID_00082",120522.5
"GPID_00086",92620
"GPID_00020",82799.333333
"GPID_00068",102789.666667
"GPID_00030",75894.666667
"GPID_00077",95802
"GPID_00232",86788.666667
"GPID_00225",116398
"GPID_00140",101494
"GPID_00181",66188
"GPID_00141",81603.666667
"GPID_00201",118807.666667
"GPID_00137",125864.666667
"GPID_00165",119665.666667
"GPID_00139",96625
"GPID_00059",76390
"GPID_00182",104856.666667
"GPID_00142",106266.666667
"GPID_00168",72591.333333
"GPID_00138",104753
"GPID_00058",118445.666667
"GPID_00146",78648
"GPID_00237",123593
"GPID_00052",112835.333333
"GPID_00231",138723
"GPID_00173",92463.666667
"GPID_00230",104804.333333
"GPID_00150",101195
"GPID_00234",133583.333333
"GPID_00131",67259.333333
"GPID_00207",125847.666667
"GPID_00031",120628.5
"GPID_00184",139790
"GPID_00186",88417.666667
"GPID_00187",99193.333333
"GPID_00202",78332.666667
"GPID_00203",97886
"GPID_00152",129826.666667
"GPID_00156",90551
"GPID_00160",115979
"GPID_00161",108673
"GPID_00170",68407.333333
"GPID_00177",119327.333333
"GPID_00240",99244.666667
"GPID_00241",98812.5
